name,ar_psnr,ar_ssim,ar_lpips,stability_score,psnr_decay_rate,sharpness_ratio_last,entropy_ratio_last,single_token_acc,single_psnr,single_ssim,single_lpips,action_sens_mean,elapsed_seconds,wm_path,token_file,vqvae_path
wm_world_model_f8_adaln_aux,22.95126162053305,0.7923246414857588,0.12958343978971243,93.52388120546787,0.34660471101688906,0.6924177659251252,1.0020456562763718,0.2137451171875,28.620470386888286,0.8981230087120623,0.06530307396315038,1834.491189320882,41.98541069030762,checkpoints/wm/world_model_f8_adaln_aux/best.pth,data/tokens_action_corr_f8/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_f8/best.pth
wm_ss_world_model_v2_ss,20.544039006429593,0.7407855653258405,0.20909515194944106,86.92168374960603,0.6894239393364527,0.8945458691558328,1.000330704063337,0.5060221354166666,32.98507925155696,0.9491513851737147,0.03619849600363523,10.552440270781517,5.9517834186553955,checkpoints/wm_ss/world_model_v2_ss/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_world_model_v2,19.9461665386368,0.6976776380200944,0.27438203064957634,87.61580237079451,0.6409965452896738,0.8730273770447655,1.0182182765194365,0.4889322916666667,31.86926215325275,0.9423734241526812,0.04581785251502879,2.0303677326689162,6.033412933349609,checkpoints/wm/world_model_v2/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_world_model_f8,16.998963618464213,0.5224369583041213,0.6521055828779936,99.12239353734465,0.013243492884801089,0.8780490081077125,0.9757450623397252,0.012491861979166666,14.691076503379586,0.14153403677102072,0.7856151436765989,8.818831543127695,40.90562200546265,checkpoints/wm/world_model_f8/best.pth,data/tokens_action_corr_f8/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_f8/best.pth
wm_world_model_v4,14.037575670831249,0.460398325749186,0.575107432436198,93.68819128734506,0.3522108880776905,1.2634097772687614,1.008705831137738,0.20198567708333334,23.235422164045854,0.7953602012910975,0.20003967002655068,135.8327808380127,5.880690097808838,checkpoints/wm/world_model_v4/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_ss_world_model_v4_ss_e029,14.002913751957083,0.40387273357943776,0.5830457243137062,91.71757422397894,0.4482292731808464,2.2086677936545125,1.0596335178958631,0.1494140625,21.997882949699417,0.7619016400445885,0.26446877016375464,315.2679163614909,6.657506465911865,checkpoints/wm_ss/world_model_v4_ss_e029/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_world_model,12.863064968699426,0.35512657576142276,0.6779354307800531,99.85979088127603,-0.001900221914943212,1.0298065650181032,1.0085764950704401,0.024576822916666668,12.325318715711083,0.33309051903731207,0.6771785840392113,164.3670151233673,6.518914222717285,checkpoints/wm/world_model/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_ss_world_model_v5_ss,12.257374484931402,0.34786964239622387,0.6853321003727615,97.73499307799524,0.08204731518855479,1.2571059412996484,1.0359679105918327,0.28564453125,19.388313804746772,0.6691292208623563,0.33092965769659105,177.36973810195923,6.255766868591309,checkpoints/wm_ss/world_model_v5_ss/best.pth,data/tokens_action_corr_v2/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_v2/best.pth
wm_world_model_v5,12.188149482386383,0.3397739624900217,0.7146591851487756,98.24456545115049,0.03962919970010004,0.7600062557085769,1.0189308698839088,0.2799479166666667,19.818742599830482,0.6863590231988986,0.3081567148522784,108.22691941261292,6.197546720504761,checkpoints/wm/world_model_v5/best.pth,data/tokens_action_corr_v2/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_v2/best.pth
wm_ss_world_model_v5_ss_fast,12.0562869587015,0.33197217691077313,0.6943925092928112,97.52787590365175,0.08333602908349813,0.9882312852131812,1.0193540474859704,0.2708333333333333,19.205733284616347,0.66799221038834,0.3194432801101357,204.61901251475015,6.702707290649414,checkpoints/wm_ss/world_model_v5_ss_fast/best.pth,data/tokens_action_corr_v2/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_v2/best.pth
