step,psnr_mean,psnr_std,ssim_mean,ssim_std
1,28.07792091369629,3.8404805660247803,0.8897742033004761,0.060392361134290695
2,25.561344146728516,3.9325106143951416,0.8357119560241699,0.0853734165430069
3,24.8161678314209,4.052071571350098,0.8223499655723572,0.08422079682350159
4,23.923635482788086,4.160800457000732,0.8007601499557495,0.08086424320936203
5,23.60377311706543,3.962938070297241,0.794486939907074,0.0759081020951271
6,24.030078887939453,3.4713423252105713,0.810201108455658,0.062380556017160416
7,23.715421676635742,3.6378278732299805,0.8001309037208557,0.06700083613395691
8,23.520591735839844,3.6950905323028564,0.7948838472366333,0.07267545163631439
9,23.417226791381836,3.5561227798461914,0.793111264705658,0.06745380163192749
10,23.27334213256836,3.7223949432373047,0.7937746644020081,0.06585139781236649
11,23.17582893371582,3.444321632385254,0.7958998680114746,0.059663597494363785
12,23.25039291381836,3.293905735015869,0.7995191812515259,0.05594487488269806
13,23.09915542602539,3.1728265285491943,0.796438455581665,0.05619199946522713
14,22.896160125732422,3.169564723968506,0.7926902770996094,0.053768742829561234
15,22.800395965576172,2.757946729660034,0.7859814763069153,0.04492295905947685
16,22.13511848449707,2.007930040359497,0.7730941772460938,0.02963881567120552
17,21.69829750061035,1.7314118146896362,0.7624275088310242,0.027977554127573967
18,21.667057037353516,1.6373159885406494,0.7612676620483398,0.026213908568024635
19,21.566896438598633,1.729689598083496,0.7598110437393188,0.026979578658938408
20,21.59754180908203,1.5442702770233154,0.7634686231613159,0.019456924870610237
21,21.417253494262695,1.5494918823242188,0.7587602138519287,0.016908353194594383
22,21.305740356445312,1.4868170022964478,0.7531658411026001,0.016920803114771843
23,21.176231384277344,1.3500875234603882,0.7530789375305176,0.016255805268883705
24,21.332128524780273,1.4772305488586426,0.7558799982070923,0.01837848871946335
25,21.5015869140625,1.7202105522155762,0.7589555382728577,0.022102603688836098
26,21.78360366821289,2.2760815620422363,0.7698609232902527,0.03137882053852081
27,21.767038345336914,2.2443768978118896,0.7654301524162292,0.03234920650720596
28,21.81230354309082,2.1019127368927,0.7648840546607971,0.02991955541074276
29,21.635061264038086,2.1521899700164795,0.7631612420082092,0.025715654715895653
30,21.680442810058594,2.1878304481506348,0.7632863521575928,0.025627130642533302
31,21.590621948242188,2.252972364425659,0.7597976922988892,0.028327450156211853
32,21.40691375732422,2.5670249462127686,0.7566928863525391,0.03079124353826046
33,21.375452041625977,2.5507237911224365,0.7551552057266235,0.03343125060200691
34,21.460105895996094,2.6299562454223633,0.7582443952560425,0.037873461842536926
35,21.451332092285156,2.743926763534546,0.7612892389297485,0.04111772030591965
36,21.600177764892578,2.6167047023773193,0.7669352293014526,0.03779001906514168
37,21.63007926940918,2.508174419403076,0.7710369825363159,0.035611752420663834
38,21.721694946289062,2.4863505363464355,0.7727171778678894,0.038687460124492645
39,21.675003051757812,2.4975850582122803,0.7713819146156311,0.036011483520269394
40,21.576385498046875,2.45572829246521,0.7670187950134277,0.034378670156002045
41,21.586000442504883,2.3394064903259277,0.7681231498718262,0.034342024475336075
42,21.62274169921875,2.2509765625,0.7664487957954407,0.031439099460840225
43,21.57757568359375,2.097900152206421,0.7612417936325073,0.031240735203027725
44,21.649797439575195,2.053933620452881,0.7630324363708496,0.02611549012362957
45,21.70764923095703,1.9967325925827026,0.7644296884536743,0.023978564888238907
46,21.77099609375,1.8957726955413818,0.7676205039024353,0.019197581335902214
47,21.78067970275879,1.829250454902649,0.76951003074646,0.01648927479982376
48,21.631893157958984,1.8626501560211182,0.7646118998527527,0.019418543204665184
49,21.517560958862305,2.012218713760376,0.764385461807251,0.02220234088599682
50,21.46438980102539,2.074502468109131,0.7607316970825195,0.02504386194050312
