name,ar_psnr,ar_ssim,ar_lpips,ar_fid,ar_fvd,stability_score,psnr_decay_rate,sharpness_ratio_last,entropy_ratio_last,single_token_acc,single_psnr,single_ssim,single_lpips,single_fid,action_sens_mean,elapsed_seconds,wm_path,token_file,vqvae_path
wm_world_model_f8_adaln_aux,19.285679485145575,0.7258683627738162,0.28319196605682373,19.820592161339114,14.971593284766,88.73289864861579,0.3318506228017812,0.8751138959264303,1.0240008500692417,0.2178125,28.928982579866485,0.9143787042072751,0.051030570212751626,2.545594669492866,1658.7714978027343,205.3109221458435,checkpoints/wm/world_model_f8_adaln_aux/best.pth,data/tokens_action_corr_f8/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_f8/best.pth
wm_ss_world_model_v2_ss,18.27094783842059,0.6410422530540958,0.30555747721763327,37.575930346881194,39.498081732560586,89.96360059778696,0.30305796499399923,0.8246183396918905,1.003086521502022,0.4690625,32.4387927666606,0.9442140302053349,0.04134919886710122,3.70629857086458,11.062405443191528,36.60063147544861,checkpoints/wm_ss/world_model_v2_ss/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_world_model_v2,17.540445618819334,0.5842436257084631,0.38574812615267,82.14485142104306,84.04505839150325,89.4474197673328,0.32619801488712497,0.7410667862647224,1.0220827548883613,0.45515625,31.18724219601967,0.9367622122429047,0.04963809768203646,5.942577289681423,2.333511407375336,35.351890325546265,checkpoints/wm/world_model_v2/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_world_model_f8,14.770433366398086,0.4090800531634288,0.7440330893993378,315.1436069667511,159.26302225880548,97.75971530060106,0.052178519886044085,0.9476057174348939,0.9833804202443193,0.01177734375,14.919354603796767,0.14674300272271204,0.7920565247535706,373.08768878750266,6.1997565650939945,198.2185389995575,checkpoints/wm/world_model_f8/best.pth,data/tokens_action_corr_f8/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_f8/best.pth
wm_ss_world_model_v5_ss_fast,12.70198144701044,0.3903918883257379,0.665683963086456,126.62947726028895,79.81214431298314,94.75754957756993,0.15771341687735915,1.0025905219638003,0.9981597699999394,0.305625,19.83117446330374,0.6975282581348762,0.27954115238040683,25.177396892060713,157.37282466888428,47.35511350631714,checkpoints/wm_ss/world_model_v5_ss_fast/best.pth,data/tokens_action_corr_v2/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_v2/best.pth
wm_world_model_v4,12.700842021237284,0.3963221300257235,0.597980282843113,216.99934060681505,206.51936967561826,97.33832239338359,0.09437535024129894,1.0875246691152833,0.9945410541322078,0.173828125,22.79488027853707,0.7777427197922953,0.22591335661709308,43.85543403890803,140.3760863494873,38.87112903594971,checkpoints/wm/world_model_v4/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_world_model_v5,12.542593509654688,0.3729373563690696,0.6838868346828967,129.26010361482508,86.10139395641298,94.35127560608008,0.1602711822202388,0.7726489262140928,0.984721896871856,0.314765625,20.44596148307732,0.7135246587503342,0.2644152184948325,24.327654254584512,82.73882823944092,46.12515640258789,checkpoints/wm/world_model_v5/best.pth,data/tokens_action_corr_v2/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_v2/best.pth
wm_ss_world_model_v5_ss,12.497747943230857,0.37569935359715045,0.6774376077931374,143.77239477092522,86.94970230774132,94.73649957381434,0.15134633457640043,1.0597779190752086,0.9967072314801149,0.325078125,19.878399650718805,0.6978829054512363,0.2859081541467458,28.180154050217137,137.67140937805175,45.01450824737549,checkpoints/wm_ss/world_model_v5_ss/best.pth,data/tokens_action_corr_v2/tokens_actions.npz,checkpoints/vqvae/vqvae_action_corr_v2/best.pth
wm_world_model,12.070873109511377,0.3151377577144066,0.6722702637910843,299.27562503017043,400.8707281627714,99.73600613816906,0.008781927882703044,0.9615357800134996,1.0028121981453295,0.021171875,12.436051861059711,0.3357208776408384,0.6777047121524811,282.52857337645673,148.1379716491699,40.11451005935669,checkpoints/wm/world_model/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
wm_ss_world_model_v4_ss_e029,12.05621967589542,0.29289596976057986,0.6372879393398762,230.19593138263886,202.03750065258035,95.40550249345458,0.15621449549864677,2.6564519076399353,1.0302818877695477,0.133828125,21.504802378994267,0.7413885629846518,0.2835304576158524,61.68432093828254,285.8197073364258,38.21134161949158,checkpoints/wm_ss/world_model_v4_ss_e029/best.pth,data/tokens_raw/tokens_actions.npz,checkpoints/vqvae/vqvae_v2/best.pth
