frame,action_signal_u_t,visual_change_v_t,u_norm,v_norm
0,0.10047754645347595,0.02813720703125,0.9528982043266296,0.2840217351913452
1,0.09227394312620163,0.0739949569106102,0.8749793767929077,0.8677327632904053
2,0.10089749097824097,0.0841776505112648,0.9568868279457092,0.997345507144928
3,0.10543661564588547,0.0843861922621727,1.0,1.0
4,0.05673931911587715,0.075164794921875,0.5374673008918762,0.8826233148574829
5,0.041352953761816025,0.0699259415268898,0.39132577180862427,0.8159393668174744
6,0.04732387512922287,0.0669148787856102,0.4480382800102234,0.7776122689247131
7,0.04109542816877365,0.0675811767578125,0.3888797461986542,0.7860934138298035
8,0.048876676708459854,0.0716603621840477,0.4627869725227356,0.8380163311958313
9,0.04540984705090523,0.0405985526740551,0.42985862493515015,0.4426388442516327
10,0.005133026745170355,0.02843729592859745,0.047304634004831314,0.2878414988517761
11,0.002989327535033226,0.02680460549890995,0.026943525299429893,0.26705941557884216
12,0.004794626031070948,0.02316792868077755,0.04409046471118927,0.22076913714408875
13,0.0013016154989600182,0.02280171774327755,0.010913435369729996,0.21610772609710693
14,0.0024453108198940754,0.0203704833984375,0.021776389330625534,0.18516120314598083
15,0.004056929610669613,0.0219268798828125,0.03708373382687569,0.20497216284275055
16,0.005391327198594809,0.02011617086827755,0.049758002161979675,0.18192413449287415
17,0.0022876898292452097,0.01769510842859745,0.020279284566640854,0.1511070728302002
18,0.001064283773303032,0.0176544189453125,0.008659230545163155,0.15058915317058563
19,0.004481361713260412,0.014836628921329975,0.04111504182219505,0.11472224444150925
20,0.005027808248996735,0.014887492172420025,0.046305254101753235,0.11536967009305954
21,0.0022806141059845686,0.014231364242732525,0.02021207846701145,0.10701799392700195
22,0.002037046942859888,0.013020833022892475,0.017898650839924812,0.09160947054624557
23,0.0004549773584585637,0.012868245132267475,0.0028719662223011255,0.08966722339391708
24,0.0001526052365079522,0.010828654281795025,0.0,0.06370581686496735
25,0.0006967561203055084,0.0113983154296875,0.005168409552425146,0.07095687836408615
26,0.003264271654188633,0.010625203140079975,0.029554976150393486,0.061116140335798264
27,0.001984111499041319,0.0095977783203125,0.0173958633095026,0.04803832620382309
28,0.0031941356137394905,0.009038289077579975,0.028888816013932228,0.04091673716902733
29,0.0013769612414762378,0.009302775375545025,0.011629077605903149,0.04428331181406975
30,0.0022376158740371466,0.008992512710392475,0.01980367675423622,0.0403340607881546
31,0.0002873517223633826,0.009007771499454975,0.001279838033951819,0.04052828624844551
32,0.004977027419954538,0.008305867202579975,0.045822933316230774,0.031593937426805496
33,0.0034132585860788822,0.00732421875,0.030970072373747826,0.01909879595041275
34,0.003053091699257493,0.0070902504958212376,0.02754916250705719,0.016120677813887596
35,0.006139123346656561,0.0068105063401162624,0.05686065927147865,0.012559888884425163
36,0.0018850468331947923,0.0062815346755087376,0.01645493507385254,0.00582675077021122
37,0.0002917778620030731,0.00640869140625,0.0013218780513852835,0.007445294875651598
38,0.0002845175622496754,0.0061289467848837376,0.0012529188534244895,0.003884500591084361
39,0.0033345159608870745,0.0059458413161337376,0.03022216260433197,0.0015538001898676157
40,0.0037900980096310377,0.0065867104567587376,0.03454933688044548,0.009711251594126225
41,0.005500917322933674,0.0058237710036337376,0.05079890042543411,0.0
42,0.002767849713563919,0.0061747231520712376,0.02483990229666233,0.004467175807803869
43,0.003634105669334531,0.0070597329176962376,0.03306770324707031,0.01573222689330578
44,0.002780331764370203,0.008188883773982525,0.024958457797765732,0.03010488487780094
45,0.004501678980886936,0.0066782631911337376,0.04130801931023598,0.010876601561903954
46,0.004070803057402372,0.008219401352107525,0.03721550852060318,0.03049333579838276
47,0.0008880222449079156,0.00946044921875,0.0069850776344537735,0.04629030078649521
48,0.003460712032392621,0.009633381851017475,0.031420789659023285,0.04849151521921158
49,0.0010353694669902325,0.009562174789607525,0.008384599350392818,0.0475851371884346
50,0.004752673674374819,0.011444091796875,0.04369199648499489,0.07153955101966858
51,0.0057747443206608295,0.010538737289607525,0.053399741649627686,0.060015540570020676
52,0.0005825406988151371,0.010670979507267475,0.004083578009158373,0.06169881671667099
53,0.0011679986491799355,0.010859171859920025,0.009644326753914356,0.06409426778554916
54,0.002269684337079525,0.011199951171875,0.020108269527554512,0.06843195110559464
55,0.000934193900320679,0.010676066391170025,0.007423621602356434,0.061763565987348557
56,0.0023996459785848856,0.011164347641170025,0.021342657506465912,0.06797876954078674
57,0.0012465807376429439,0.011789957992732525,0.010390708222985268,0.07594199478626251
58,0.005296406801789999,0.011784871108829975,0.04885643720626831,0.07587724179029465
59,0.004432499408721924,0.012440999038517475,0.04065094143152237,0.08422891795635223
60,0.00037939465255476534,0.011006672866642475,0.0021540727466344833,0.06597176939249039
61,0.0008613129029981792,0.0125885009765625,0.006731389090418816,0.08610643446445465
62,0.0038781005423516035,0.0128936767578125,0.035385195165872574,0.08999092876911163
63,0.0009580997284501791,0.012990315444767475,0.007650681771337986,0.09122101962566376
64,0.00560876727104187,0.01422119140625,0.05182327330112457,0.10688851773738861
65,0.0058850450441241264,0.013005574233829975,0.054447393864393234,0.09141524881124496
66,0.001246288069523871,0.01300048828125,0.010387929156422615,0.0913505107164383
67,0.00462084636092186,0.013890583999454975,0.04243988171219826,0.10268028825521469
68,0.0044736601412296295,0.013971964828670025,0.041041892021894455,0.1037161648273468
69,0.001805353444069624,0.013722737319767475,0.01569799706339836,0.10054381936788559
70,0.002957215066999197,0.014048258773982525,0.026638517156243324,0.10468728840351105
71,0.002698893193155527,0.0227203369140625,0.024184945970773697,0.21507185697555542
72,0.04958636313676834,0.0481109619140625,0.4695276618003845,0.5382623076438904
73,0.0399051196873188,0.0597635917365551,0.37757405638694763,0.6865854859352112
74,0.04124901443719864,0.0730133056640625,0.3903385400772095,0.855237603187561
75,0.04517507925629616,0.0772247314453125,0.427628755569458,0.9088436961174011
76,0.05180109292268753,0.0826822891831398,0.49056342244148254,0.9783114790916443
77,0.05011821910738945,0.0819193497300148,0.4745793044567108,0.9686002135276794
78,0.043480224907398224,0.0689188614487648,0.41153085231781006,0.803120493888855

lag,correlation
0,0.8536194101769499
1,0.8872705332772576
2,0.8499028182873481
3,0.7818195417861736
4,0.7119191275280271
5,0.6334101274919615
6,0.5074208609326487
