model,stage,source_log,absolute_epoch,relative_epoch,loss,ce,smooth,contrast,action_aux,rollout
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,42.0,37.0,6.0743,6.0717,0.0044,0.0623,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,43.0,38.0,6.0759,6.0733,0.004,0.0612,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,44.0,39.0,6.072,6.0693,0.0042,0.0613,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,45.0,40.0,6.0737,6.071,0.0044,0.0607,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,46.0,41.0,6.0725,6.0698,0.0043,0.059,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,47.0,42.0,6.0721,6.0693,0.0043,0.0584,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,48.0,43.0,6.0789,6.0761,0.0046,0.0563,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,49.0,44.0,6.0769,6.0741,0.0045,0.0574,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,50.0,45.0,6.0717,6.0688,0.0045,0.0574,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,51.0,46.0,6.0757,6.0728,0.0048,0.0559,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,52.0,47.0,6.0676,6.0647,0.0047,0.0555,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,53.0,48.0,6.0773,6.0743,0.0047,0.0551,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,54.0,49.0,6.0773,6.0744,0.0047,0.0541,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,55.0,50.0,6.0772,6.0742,0.0048,0.0538,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,56.0,51.0,6.073,6.07,0.0048,0.0538,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,57.0,52.0,6.0764,6.0734,0.0049,0.0524,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,58.0,53.0,6.0762,6.0731,0.0045,0.0528,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,59.0,54.0,6.0747,6.0716,0.0045,0.0532,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,60.0,55.0,6.0727,6.0695,0.0047,0.0529,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,61.0,56.0,6.0768,6.0737,0.005,0.0506,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,62.0,57.0,6.0781,6.075,0.0049,0.0498,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,63.0,58.0,6.0765,6.0733,0.0049,0.0511,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,64.0,59.0,6.0735,6.0703,0.0053,0.0495,,
FiLM,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8.log,65.0,60.0,6.0729,6.0697,0.0053,0.0493,,
